mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.004555304845174153,0.0027143778263122556,0.0029958089192708335,0.0017841775910760773,gini,20,4,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1.0583865046761654,-0.5365030114984486,-0.6809448263705276,-0.758611447515047,0.220022230911407,22
0.00354917844136556,0.0003720657371189945,0.002235968907674154,0.00035876149186631913,gini,30,1,2,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",-0.6519535005681327,-0.7132688446796862,-1.2587696104353965,-0.8746639852277385,0.27275476328624576,41
0.0038063526153564453,0.001050302946679935,0.0019259452819824219,0.000362642470164274,gini,30,1,5,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",-0.6781749847041347,-0.9036320496440957,-1.298166754803456,-0.9599912630505621,0.2562286992116862,53
0.0028803348541259766,0.00018825780212417386,0.002193609873453776,0.0009075862722301004,gini,30,1,10,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.7043964688401367,-0.808450447161891,-0.8779305482108237,-0.7969258214042837,0.07131213980287718,31
0.0030380884806315103,0.00020216567792621937,0.0019017855326334636,0.0003608413188219158,gini,30,2,2,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2}",-0.717507210908138,-0.6996714728965141,-1.2325048475233569,-0.8832278437760029,0.24708345067696139,42
0.004338502883911133,0.0011137138621168813,0.0026741822560628257,0.0014899797038048846,gini,30,2,5,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5}",-0.7961716633161442,-0.9036320496440957,-1.114313414419179,-0.9380390424598063,0.1321398862687862,51
0.003241380055745443,0.0006330825861666943,0.0016883214314778645,0.00017534670316613204,gini,30,2,10,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.5732890481601263,-0.45491878079941594,-1.193107703155298,-0.7404385107049466,0.3237127619706513,16
0.0027801195780436196,0.00011824220877028303,0.0018467903137207031,0.0003614020408753188,gini,30,4,2,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1.0714972467441664,-0.6044898704143093,-0.9961219813150015,-0.8907030328244924,0.20470928722175363,44
0.0029392242431640625,5.171760078615848e-05,0.0019502639770507812,0.0004406874910259258,gini,30,4,5,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1.0714972467441664,-0.6044898704143093,-0.9961219813150015,-0.8907030328244924,0.20470928722175363,44
0.0037609736124674478,0.0010128952184833458,0.002458651860555013,0.0001579584214489178,gini,30,4,10,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1.0583865046761654,-0.5365030114984486,-0.6809448263705276,-0.758611447515047,0.220022230911407,22
0.0006778240203857422,5.789891004066736e-05,0.0,0.0,entropy,None,1,2,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,,55
0.0018022855122884114,0.0007591114853066955,0.0,0.0,entropy,None,1,5,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5}",,,,,,55
0.0018224716186523438,0.0007595248352193314,0.0,0.0,entropy,None,1,10,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10}",,,,,,55
0.0017290910085042317,0.0008182980954653122,0.0,0.0,entropy,None,2,2,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,,55
0.0009934107462565105,5.828260165911456e-05,0.0,0.0,entropy,None,2,5,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5}",,,,,,55
0.0008028348286946615,0.00015524025885755888,0.0,0.0,entropy,None,2,10,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10}",,,,,,55
0.0012102921803792317,0.0009288977614628529,0.0,0.0,entropy,None,4,2,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2}",,,,,,55
0.0018892288208007812,0.0006375854291343965,0.0,0.0,entropy,None,4,5,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 5}",,,,,,55
0.002360105514526367,0.00016892703649339254,0.0,0.0,entropy,None,4,10,"{'criterion': 'entropy', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 10}",,,,,,55
0.006050268809000651,0.002410604734067207,0.003942251205444336,0.0012265922008460719,entropy,10,1,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",-0.74372869504414,-0.49571089614893227,-0.9173276925788831,-0.7189224279239852,0.17301578718774194,13
0.004424571990966797,0.0010848831490617194,0.0027790069580078125,0.0006450244760270377,entropy,10,1,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",-0.74372869504414,-0.7268662164628583,-1.179975321699278,-0.8835234110687589,0.20973616328352485,43
0.006130139032999675,0.001917702115102925,0.004904111226399739,0.0015991839458086448,entropy,10,1,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.5732890481601263,-0.42772403723307173,-0.8779305482108237,-0.626314544534674,0.1875815433014232,6
0.0034410953521728516,0.0005280571636102991,0.002163092295328776,0.00044704139845940633,entropy,10,2,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",-0.7961716633161442,-0.3869319218835554,-1.1011810329631593,-0.7614282060542864,0.29262408084592195,25
0.004917065302530925,0.00044596777118803413,0.0024982293446858725,0.00026751742711966927,entropy,10,2,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",-0.8223931474521462,-0.31894506296769487,-1.0486515071390805,-0.7299965725196405,0.30498165951496764,15
0.004211902618408203,9.024282321672507e-05,0.0027004082997639975,0.00011281916330795733,entropy,10,2,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.5732890481601263,-0.1693739733528017,-0.6415476820024684,-0.4614035678384654,0.2083679011029956,1
0.004454692204793294,0.0008989148636944816,0.0032819906870524087,0.00046495732237224506,entropy,10,4,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",-0.730617952976139,-0.5501003832816207,-1.08804865150714,-0.7895889959216332,0.2235401123605758,30
